#Wavelength Flux Error
3937.6 28.3961525 1.743315976
3938.4 28.36966133 1.753378309
3939.2 27.87318611 1.760642674
3940 25.92118073 1.758368149
3940.8 31.02630234 1.779876526
3941.6 28.13686371 1.745803457
3942.4 27.73132896 1.726996303
3943.2 26.75826454 1.747895413
3944 28.39203644 1.746271125
3944.8 28.68466377 1.758137715
3945.6 25.28272438 1.749601329
3946.4 28.34718323 1.831424667
3947.2 30.69097137 1.849445358
3948 26.44167137 1.770853486
3948.8 28.63682938 1.781194436
3949.6 28.33882523 1.73678647
3950.4 26.72962189 1.743739615
3951.2 27.56760406 1.65633192
3952 26.58736992 1.665575368
3952.8 28.3718338 1.673705902
3953.6 27.94325256 1.822025389
3954.4 28.39949989 1.743693634
3955.2 31.71838951 1.723442136
3956 25.38324738 1.695455737
3956.8 27.30459595 1.765290871
3957.6 29.09564018 1.73645034
3958.4 29.37491417 1.79063433
3959.2 29.58842659 1.759526631
3960 25.90582466 1.706891229
3960.8 24.67981148 1.70947834
3961.6 25.98300934 1.650194907
3962.4 25.08753204 1.643272758
3963.2 26.09443474 1.637424059
3964 28.07405663 1.635081796
3964.8 26.16300392 1.633074474
3965.6 26.34275627 1.639147819
3966.4 24.57365608 1.63020521
3967.2 24.60666466 1.638233629
3968 24.23871231 1.619994753
3968.8 25.48843193 1.628941547
3969.6 28.09500885 1.623698945
3970.4 24.45152283 1.629049118
3971.2 28.78927994 1.625467473
3972 28.45409012 1.630418421
3972.8 28.55904961 1.63969147
3973.6 27.50111389 1.640886514
3974.4 26.00394058 1.653144015
3975.2 29.17166901 1.66666891
3976 28.12231255 1.669649265
3976.8 28.41449165 1.706326176
3977.6 30.92020035 1.706368375
3978.4 31.163517 1.809633414
3979.2 32.24048233 1.776832195
3980 33.13017273 1.705860424
3980.8 27.04930687 1.73989258
3981.6 28.06657791 1.692834297
3982.4 26.90128136 1.689425708
3983.2 28.0648365 1.67220172
3984 26.77115059 1.715041916
3984.8 28.80375671 1.720730771
3985.6 28.74690819 1.712058481
3986.4 27.4428997 1.695146952
3987.2 30.7559185 1.660938177
3988 29.9510479 1.785796671
3988.8 29.78433037 1.689642814
3989.6 29.41962433 1.703669027
3990.4 32.31642914 1.739158659
3991.2 28.91297531 1.675038273
3992 29.83481979 1.685582078
3992.8 28.94188499 1.627224456
3993.6 29.72154999 1.681902865
3994.4 27.45589447 1.603333939
3995.2 26.68633652 1.612741417
3996 28.08404922 1.730185445
3996.8 26.84880447 1.66236607
3997.6 28.33813286 1.661797849
3998.4 31.99928093 1.681353405
3999.2 27.51844978 1.60792055
4000 27.98583412 1.620647864
4000.8 27.10749435 1.635605111
4001.6 28.72452927 1.617153555
4002.4 28.62922478 1.604512918
4003.2 27.33487129 1.681093602
4004 30.64236832 1.640542899
4004.8 29.45993233 1.669768643
4005.6 30.54084206 1.659143945
4006.4 29.70674324 1.679833473
4007.2 26.77589417 1.647512418
4008 26.75069618 1.678795116
4008.8 30.38961983 1.700856619
4009.6 26.75744438 1.633447057
4010.4 28.56864357 1.722590873
4011.2 32.03789139 1.671022927
4012 27.15205574 1.657843682
4012.8 26.76316261 1.646625216
4013.6 26.15979004 1.647070269
4014.4 28.44833374 1.64019345
4015.2 28.91601563 1.587039266
4016 24.70370674 1.605972546
4016.8 27.41070366 1.627567993
4017.6 27.86182022 1.635398918
4018.4 27.38363266 1.600187777
4019.2 27.79920006 1.596240465
4020 26.57316589 1.527903144
4020.8 26.746912 1.570093709
4021.6 28.12054062 1.611627609
4022.4 25.29583359 1.561852124
4023.2 28.5984211 1.614977988
4024 28.29382706 1.572684116
4024.8 25.98629379 1.599785627
4025.6 24.91305161 1.523965032
4026.4 28.38564301 1.55319347
4027.2 27.21777916 1.544346839
4028 28.73303223 1.569140613
4028.8 25.2802887 1.481106902
4029.6 26.03606415 1.56913877
4030.4 27.15717888 1.5491779
4031.2 27.4994297 1.598823443
4032 30.97685051 1.535087685
4032.8 28.20028305 1.612240424
4033.6 27.38542938 1.555457668
4034.4 27.09639168 1.502048479
4035.2 25.67072678 1.533676975
4036 27.7033577 1.562371115
4036.8 21.49778175 1.537882885
4037.6 22.58605957 1.504202642
4038.4 26.87162209 1.557917251
4039.2 25.75305557 1.570986028
4040 27.29953957 1.538295395
4040.8 25.01161957 1.524961382
4041.6 25.34779358 1.534114677
4042.4 28.25443459 1.572964844
4043.2 25.64743996 1.566644133
4044 25.09025002 1.556306097
4044.8 27.2128582 1.588338399
4045.6 27.77452469 1.562220141
4046.4 27.15094566 1.546665569
4047.2 26.96549225 1.574382546
4048 24.82899666 1.571082058
4048.8 25.9207592 1.545661588
4049.6 29.57689667 1.517084902
4050.4 26.4148922 1.583064716
4051.2 26.46431923 1.466745948
4052 25.5690918 1.522012484
4052.8 27.28491974 1.552152046
4053.6 25.67017174 1.479072542
4054.4 27.14393425 1.523869
4055.2 24.43118477 1.516704501
4056 27.53841019 1.544256232
4056.8 27.07775879 1.528742284
4057.6 24.88319778 1.47445924
4058.4 13.42108059 1.233263482
4059.2 9.988262177 1.123238826
4060 8.987809181 1.161434421
4060.8 12.947649 1.242781425
4061.6 22.03878212 1.423279599
4062.4 27.02204323 1.58005008
4063.2 25.06455994 1.52297437
4064 25.38312912 1.480740779
4064.8 27.89096642 1.601774616
4065.6 28.3560009 1.573099753
4066.4 24.19825363 1.503051105
4067.2 26.85392761 1.516790761
4068 26.72717285 1.53956336
4068.8 24.74959183 1.500552499
4069.6 25.17334747 1.435634691
4070.4 28.35129738 1.469038517
4071.2 27.4974823 1.534860801
4072 28.71497536 1.551217327
4072.8 23.30193901 1.512560857
4073.6 28.31310654 1.499987472
4074.4 26.19973183 1.480560552
4075.2 27.59804153 1.476901309
4076 26.92733002 1.472295629
4076.8 28.96770096 1.547193514
4077.6 28.816185 1.515352948
4078.4 28.87447166 1.55772639
4079.2 25.74744797 1.533990088
4080 25.98980904 1.516086609
4080.8 26.96238899 1.515735706
4081.6 26.88489342 1.486065465
4082.4 27.50930977 1.53593959
4083.2 28.52970505 1.502203885
4084 26.2650032 1.448933019
4084.8 29.01997185 1.539903272
4085.6 26.83239365 1.549443841
4086.4 26.05039787 1.522875578
4087.2 25.55320549 1.523494224
4088 27.5692234 1.542175233
4088.8 27.23605919 1.513098662
4089.6 26.18434906 1.46541291
4090.4 27.61727142 1.505572404
4091.2 30.56227303 1.551677238
4092 25.9997654 1.500376718
4092.8 26.83567238 1.489801993
