# Boroson optical Fe template
# log10(wave)  flux (erg/s/cm2/A)
3.6948656826  0.00000e+00
3.6950195815  0.00000e+00
3.6951734804  0.00000e+00
3.6953273793  0.00000e+00
3.6954812782  0.00000e+00
3.6956351771  0.00000e+00
3.695789076  0.00000e+00
3.6959429749  0.00000e+00
3.6960968738  0.00000e+00
3.6962507727  0.00000e+00
3.6964046716  0.00000e+00
3.6965585705  0.00000e+00
3.6967124694  0.00000e+00
3.6968663683  0.00000e+00
3.6970202672  0.00000e+00
3.6971741661  0.00000e+00
3.697328065  0.00000e+00
3.6974819639  0.00000e+00
3.6976358628  0.00000e+00
3.6977897617  0.00000e+00
3.6979436606  0.00000e+00
3.6980975595  0.00000e+00
3.6982514584  0.00000e+00
3.6984053573  0.00000e+00
3.6985592562  0.00000e+00
3.6987131551  0.00000e+00
3.698867054  0.00000e+00
3.6990209529  0.00000e+00
3.6991748518  0.00000e+00
3.6993287507  0.00000e+00
3.6994826496  0.00000e+00
3.6996365485  0.00000e+00
3.6997904474  0.00000e+00
3.6999443463  0.00000e+00
3.7000982452  0.00000e+00
3.7002521441  0.00000e+00
3.700406043  0.00000e+00
3.7005599419  0.00000e+00
3.7007138408  0.00000e+00
3.7008677397  0.00000e+00
3.7010216386  0.00000e+00
3.7011755375  0.00000e+00
3.7013294364  0.00000e+00
3.7014833353  0.00000e+00
3.7016372342  0.00000e+00
3.7017911331  0.00000e+00
3.701945032  0.00000e+00
3.7020989309  0.00000e+00
3.7022528298  0.00000e+00
3.7024067287  0.00000e+00
3.7025606276  0.00000e+00
3.7027145265  0.00000e+00
3.7028684254  0.00000e+00
3.7030223243  0.00000e+00
3.7031762232  0.00000e+00
3.7033301221  0.00000e+00
3.703484021  0.00000e+00
3.7036379199  0.00000e+00
3.7037918188  0.00000e+00
3.7039457177  0.00000e+00
3.7040996166  0.00000e+00
3.7042535155  0.00000e+00
3.7044074144  0.00000e+00
3.7045613133  0.00000e+00
3.7047152122  0.00000e+00
3.7048691111  0.00000e+00
3.70502301  0.00000e+00
3.7051769089  0.00000e+00
3.7053308078  0.00000e+00
3.7054847067  0.00000e+00
3.7056386056  0.00000e+00
3.7057925045  0.00000e+00
3.7059464034  0.00000e+00
3.7061003023  0.00000e+00
3.7062542012  0.00000e+00
3.7064081001  0.00000e+00
3.706561999  0.00000e+00
3.7067158979  0.00000e+00
3.7068697968  0.00000e+00
3.7070236957  0.00000e+00
3.7071775946  0.00000e+00
3.7073314935  0.00000e+00
3.7074853924  0.00000e+00
3.7076392913  0.00000e+00
3.7077931902  0.00000e+00
3.7079470891  0.00000e+00
3.708100988  0.00000e+00
3.7082548869  0.00000e+00
3.7084087858  0.00000e+00
3.7085626847  0.00000e+00
3.7087165836  0.00000e+00
3.7088704825  0.00000e+00
3.7090243814  0.00000e+00
3.7091782803  0.00000e+00
3.7093321792  0.00000e+00
3.7094860781  0.00000e+00
